lat,lon,ghi_pvgis_kwh_m2_day,pvout_kwh_kwp,optimal_tilt_deg
52.65,-3.9499999999999993,2.4935342465753423,722.77,0.0
52.65,-3.6999999999999993,2.5779452054794523,749.18,0.0
52.65,-3.4499999999999993,2.696657534246575,784.47,0.0
52.65,-3.1999999999999993,2.7486849315068493,800.14,0.0
52.65,-2.9499999999999993,2.7354794520547947,795.14,0.0
52.65,-2.6999999999999993,2.7865479452054793,809.43,0.0
52.65,-2.4499999999999993,2.7733150684931505,802.32,0.0
52.65,-2.1999999999999993,2.759753424657534,798.08,0.0
52.65,-1.9499999999999993,2.7596164383561645,797.92,0.0
52.65,-1.6999999999999993,2.7864931506849318,806.13,0.0
52.65,-1.4499999999999993,2.8209315068493153,818.49,0.0
52.65,-1.1999999999999993,2.807205479452055,814.01,0.0
52.65,-0.9499999999999993,2.8328767123287673,821.91,0.0
52.65,-0.6999999999999993,2.882958904109589,836.66,0.0
52.65,-0.4499999999999993,2.9009589041095887,840.53,0.0
52.65,-0.1999999999999993,2.9153698630136984,843.54,0.0
52.65,0.05000000000000071,2.9303561643835616,846.81,0.0
52.65,0.3000000000000007,2.9201917808219173,844.2,0.0
52.65,0.5500000000000007,2.8876712328767122,834.78,0.0
52.65,0.8000000000000007,2.911753424657534,842.3,0.0
52.65,1.0500000000000007,2.9294520547945204,847.92,0.0
52.65,1.3000000000000007,2.908027397260274,841.95,0.0
52.65,1.5500000000000007,2.9949041095890414,875.25,0.0
52.65,1.8000000000000007,,,
52.9,-8.2,2.664821917808219,772.9,0.0
