rank,name,site_type,latitude,longitude,score_repd,score_industrial,score_combined,pvout_kwh_kwp,in_protected_area,in_sssi,in_flood_zone,in_grade1_agri,capacity_kwp,annual_gen_kwh,annual_saving_gbp,capex_gbp,payback_yr,npv_gbp,battery_value,fin_score,constraint_score,geo_score,final_score
25,Bowburn Sewage Treatment Works,wastewater_plant,54.7274514,-1.5327752,0.5002566,0.9311808,0.7157187,773.308595768,0,0,0,0,500.0,386654.0,49298.0,500000.0,10.1,99523.0,0.45,0.743,1.0,0.7157187,0.783
26,,pumping_station,54.5170878,-1.3315663,0.8677063,0.9539698,0.910838,764.668323588,0,0,0,0,100.0,76467.0,6882.0,100000.0,14.5,-16307.0,0.75,0.523,1.0,0.91083805,0.774
27,Picktree STW,wastewater_plant,54.8698075,-1.5638889,0.443605,0.9277227,0.6856638,773.524621328,0,0,0,0,500.0,386762.0,49312.0,500000.0,10.1,99691.0,0.45,0.743,1.0,0.6856638500000001,0.771
28,Pity Me Sewage Treatment Works,wastewater_plant,54.8071261,-1.5929211,0.5524292,0.81198025,0.6822047,770.2770587359998,0,0,0,0,500.0,385139.0,49105.0,500000.0,10.2,97173.0,0.45,0.741,1.0,0.682204725,0.769
29,Brasside Sewage Treatment Works,wastewater_plant,54.8111198,-1.5568346,0.39943722,0.9404576,0.6699474,772.9654533439999,0,0,0,0,500.0,386483.0,49277.0,500000.0,10.1,99257.0,0.45,0.743,1.0,0.66994741,0.765
30,Broken Scar Water Treatment Works,industrial,54.5218337,-1.604203,0.98754185,0.57071334,0.7791276,773.5638396919999,0,0,0,0,200.0,154713.0,16245.0,200000.0,12.3,-2445.0,0.6,0.634,1.0,0.7791275950000001,0.765
31,,pumping_station,52.3583454,1.242757,0.7961939,0.9894009,0.8927974,863.08453896,0,0,0,1,100.0,86308.0,7768.0,100000.0,12.9,-5535.0,0.75,0.606,0.8,0.8927974000000001,0.76
32,Barton STW,wastewater_plant,54.4762597,-1.6442344,0.83221334,0.46160686,0.6469101,772.7922505639998,0,0,0,0,500.0,386396.0,49266.0,500000.0,10.1,99123.0,0.45,0.743,1.0,0.6469101,0.756
33,,reservoir_covered,51.8177377,0.7339579,0.9792032,0.65396774,0.8165855,884.4185360039994,0,0,0,1,150.0,132663.0,12935.0,150000.0,11.6,7299.0,0.55,0.67,0.8,0.81658547,0.755
34,Shields Road Sewage Pumping Station,pumping_station,54.8644162,-1.5669157,0.9261647,0.76382965,0.84499717,773.206901552,0,0,0,0,100.0,77321.0,6959.0,100000.0,14.4,-15373.0,0.75,0.531,1.0,0.844997175,0.75
35,Newbiggin STW,wastewater_plant,55.1747584,-1.5214011,0.43919533,0.7911866,0.615191,781.302124458,0,0,0,0,500.0,390651.0,49808.0,500000.0,10.0,105720.0,0.45,0.748,1.0,0.615190965,0.745
